iter	Passed	Remaining
0	52	52581
1	53	26543
2	53	17873
3	54	13543
4	55	10973
5	55	9202
6	56	7956
7	56	7022
8	57	6304
9	57	5712
10	58	5241
11	58	4839
12	59	4523
13	60	4232
14	60	3984
15	61	3766
16	61	3571
17	62	3405
18	63	3257
19	63	3122
20	64	2990
21	64	2870
22	64	2759
23	65	2664
24	66	2576
25	66	2496
26	67	2420
27	67	2349
28	68	2279
29	68	2222
30	69	2170
31	69	2117
32	70	2065
33	70	2015
34	71	1971
35	71	1926
36	72	1883
37	72	1842
38	73	1801
39	73	1767
40	74	1733
41	74	1702
42	75	1670
43	75	1642
44	76	1613
45	76	1587
46	77	1561
47	77	1536
48	77	1511
49	78	1488
50	78	1465
51	79	1445
52	79	1426
53	80	1409
54	80	1390
55	81	1370
56	81	1354
57	82	1337
58	82	1319
59	83	1304
60	83	1288
61	84	1272
62	84	1256
63	85	1244
64	85	1230
65	86	1219
66	86	1207
67	86	1191
68	87	1178
69	87	1166
70	88	1154
71	88	1141
72	89	1130
73	89	1120
74	89	1109
75	90	1099
76	91	1091
77	91	1083
78	92	1075
79	92	1067
80	93	1057
81	93	1051
82	94	1043
83	94	1035
84	95	1025
85	95	1018
86	96	1010
87	96	1001
88	97	994
89	97	986
90	98	979
91	98	972
92	99	967
93	99	961
94	100	956
95	101	951
96	101	944
97	101	937
98	102	931
99	102	924
100	103	918
101	103	910
102	103	904
103	104	900
104	105	895
105	105	890
106	106	885
107	106	880
108	107	875
109	107	870
110	107	864
111	108	859
112	108	854
113	109	850
114	109	845
115	110	841
116	111	838
117	111	834
118	111	828
119	112	826
120	113	822
121	113	819
122	114	813
123	114	810
124	115	806
125	115	802
126	116	797
127	116	792
128	116	788
129	117	784
130	117	780
131	118	776
132	118	773
133	119	770
134	119	767
135	120	763
136	120	760
137	121	757
138	121	753
139	122	750
140	122	747
141	123	743
142	123	740
143	124	737
144	124	735
145	125	732
146	126	731
147	126	728
148	127	726
149	127	724
150	128	720
151	128	717
152	129	714
153	129	711
154	129	708
155	130	706
156	131	704
157	131	701
158	132	699
159	132	696
160	133	693
161	133	690
162	133	687
163	134	685
164	134	682
165	135	680
166	135	677
167	136	675
168	136	673
169	137	670
