iter	Passed	Remaining
0	54	54364
1	54	27429
2	55	18417
3	55	13901
4	56	11182
5	56	9370
6	56	8078
7	57	7116
8	57	6364
9	58	5756
10	58	5263
11	58	4848
12	59	4497
13	59	4198
14	59	3938
15	60	3709
16	60	3509
17	61	3331
18	61	3171
19	61	3026
20	62	2896
21	62	2778
22	62	2669
23	63	2571
24	63	2480
25	63	2395
26	64	2319
27	64	2247
28	65	2179
29	65	2115
30	65	2056
31	66	2001
32	66	1949
33	66	1900
34	67	1854
35	67	1810
36	68	1770
37	68	1733
38	68	1696
39	69	1663
40	69	1632
41	70	1601
42	70	1571
43	70	1542
44	71	1514
45	71	1487
46	72	1462
47	72	1439
48	72	1416
49	73	1394
50	73	1372
51	74	1351
52	74	1331
53	74	1311
54	75	1292
55	75	1274
56	75	1256
57	76	1239
58	76	1223
59	77	1208
60	77	1193
61	77	1179
62	78	1165
63	78	1151
64	79	1138
65	79	1125
66	79	1112
67	80	1099
68	80	1087
69	80	1075
70	81	1064
71	81	1052
72	82	1041
73	82	1031
74	82	1021
75	83	1011
76	83	1001
77	84	993
78	84	983
79	84	974
80	85	965
81	85	957
82	85	946
83	86	938
84	86	930
85	86	922
86	87	914
87	87	906
88	87	899
89	88	891
90	88	884
91	88	877
92	89	870
93	89	864
94	90	858
95	90	851
96	90	845
97	91	838
98	91	832
99	91	826
100	92	820
101	92	814
102	92	809
103	93	803
104	93	798
105	94	793
106	94	788
107	94	783
108	95	778
109	95	773
110	95	768
111	96	763
112	96	758
113	97	755
114	97	750
115	97	746
116	98	741
117	98	736
118	98	732
119	99	728
120	99	724
121	100	720
122	100	716
123	100	712
124	101	708
125	101	704
126	101	700
127	102	696
128	102	693
129	103	689
130	103	686
131	103	682
132	104	678
133	104	675
134	104	671
135	105	671
136	106	669
137	106	666
138	107	662
139	107	659
140	107	656
141	107	652
142	108	648
143	108	646
144	109	643
145	109	640
146	109	637
147	110	634
148	110	631
149	110	628
150	111	625
151	111	623
152	112	620
153	112	617
154	112	614
155	113	612
156	113	610
157	113	607
158	114	605
159	114	602
160	114	599
161	115	596
162	115	594
163	116	591
164	116	589
165	116	587
166	117	584
167	117	582
168	118	580
169	118	578
170	118	576
171	119	574
172	119	572
173	120	569
174	120	567
175	120	565
176	121	563
177	121	561
178	121	559
179	122	557
180	122	555
181	123	553
182	123	551
183	123	548
184	124	546
185	124	544
186	124	542
187	125	540
188	125	538
189	125	537
190	126	535
191	126	533
192	127	531
193	127	530
194	128	528
195	128	527
196	128	525
197	129	523
198	129	522
199	130	520
200	130	518
201	130	516
202	131	514
203	131	513
204	131	511
205	132	509
206	132	508
207	133	506
208	133	504
209	133	503
210	134	501
211	134	500
212	134	498
213	135	496
214	135	495
215	136	493
216	136	492
217	136	490
218	137	489
219	137	487
220	137	486
221	138	484
222	138	482
223	138	481
224	139	479
225	139	478
226	140	477
227	140	475
228	140	474
229	141	472
230	141	471
231	142	470
232	142	469
233	142	467
234	143	466
235	143	465
236	144	464
237	144	462
238	144	461
239	145	460
240	145	458
241	146	457
242	146	456
243	146	454
244	147	453
245	147	452
246	147	451
247	148	449
248	148	448
249	149	447
250	149	446
251	149	444
252	150	443
253	150	442
254	150	441
255	151	439
256	151	438
257	152	437
258	152	436
259	152	435
260	153	434
261	153	432
262	154	431
263	154	430
264	154	429
265	155	428
266	155	427
267	156	426
268	156	425
269	156	424
270	157	423
271	157	422
272	158	420
273	158	419
274	158	418
275	159	417
276	159	416
277	159	415
278	160	414
279	160	413
280	161	412
281	161	411
282	161	410
283	162	409
284	162	408
285	163	407
286	163	406
287	163	404
288	164	403
289	164	402
290	164	402
291	165	401
292	165	400
293	166	399
294	166	398
295	167	397
296	167	396
297	168	396
298	168	395
299	169	394
300	169	393
301	169	392
302	170	391
303	170	390
304	171	390
305	171	389
306	172	388
307	172	388
308	173	387
309	173	386
310	174	385
311	174	384
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	177	379
318	177	379
319	178	378
320	178	377
321	178	376
322	179	375
323	180	375
324	180	374
325	180	374
326	181	373
327	181	372
328	182	371
329	182	370
330	182	369
331	183	368
332	183	368
333	184	367
334	184	366
335	185	365
336	185	365
337	186	364
338	186	363
339	186	362
340	187	362
341	187	361
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	190	355
348	190	355
349	190	354
350	191	353
351	191	352
352	191	351
353	192	350
354	192	350
355	193	349
356	193	348
357	193	347
358	194	347
359	194	346
360	195	345
361	195	344
362	196	343
363	196	343
364	196	342
365	197	341
366	197	340
367	197	339
368	198	338
369	198	337
370	198	337
371	199	336
372	199	335
373	200	334
374	200	334
375	200	333
376	201	332
377	201	331
378	202	331
379	202	330
380	202	329
381	203	329
382	203	328
383	204	327
384	204	326
385	205	326
386	205	325
387	205	324
388	206	324
389	206	323
390	206	322
391	207	321
392	207	320
393	207	319
394	208	319
395	208	318
396	208	317
397	209	316
398	209	315
399	209	314
400	210	314
401	210	313
402	210	312
403	211	311
404	211	311
405	212	310
406	212	309
407	213	309
408	213	308
409	213	307
410	214	306
411	214	306
412	215	305
413	215	304
414	215	304
415	216	303
416	216	302
417	216	302
418	217	301
419	217	300
420	218	299
421	218	299
422	218	298
423	219	297
424	219	297
425	220	296
426	220	295
427	220	295
428	221	294
429	221	293
430	222	293
431	222	292
432	222	291
433	223	291
434	223	290
435	223	289
436	224	288
437	224	288
438	224	287
439	225	286
440	225	285
441	225	285
442	226	284
443	226	283
444	226	282
445	227	282
446	227	281
447	227	280
448	228	280
449	228	279
450	229	278
451	229	278
452	229	277
453	230	276
454	230	276
455	230	275
456	231	274
457	231	274
458	231	273
459	232	272
460	232	271
461	232	271
462	233	270
463	233	269
464	233	269
465	234	268
466	234	267
467	234	266
468	235	266
469	235	265
470	235	264
471	236	264
472	236	263
473	236	262
474	237	262
475	237	261
476	237	260
477	238	260
478	238	259
479	238	258
480	239	258
481	239	257
482	239	256
483	240	256
484	240	255
485	240	254
486	241	254
487	241	253
488	241	252
489	242	252
490	242	251
491	242	250
492	243	250
493	243	249
494	243	248
495	244	248
496	244	247
497	245	247
498	245	246
499	245	245
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	248	242
506	248	241
507	248	241
508	249	240
509	249	239
510	250	239
511	250	238
512	250	238
513	251	237
514	251	236
515	251	236
516	252	235
517	252	234
518	252	234
519	253	233
520	253	233
521	253	232
522	254	231
523	254	231
524	254	230
525	255	229
526	255	229
527	255	228
528	256	227
529	256	227
530	256	226
531	257	226
532	257	225
533	257	224
534	258	224
535	258	223
536	258	223
537	259	222
538	259	222
539	260	221
